,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
125,Vyanjanam,"North Indian,Chinese",3.8,150,Ramdaspeth,Ramdaspeth,"Nr.Centre Point, Ramdaspeth",True,21.1365853,79.0749872
126,Cake's Inn,Bakery,4.1,300,Sadar,Sadar,"Opposite Saraf Chambers, Mount Road, Sadar, Nagpur",True,21.1729661,79.0795534
127,Pratape Foods,North Indian,,500,Ramdaspeth,Jhansi Rani Chowk,"Nourth Ambazari Road, Near University library, Ramdaspeth, Nagpur, Maharashtra 440010",False,,
128,Biryani Villa,"North Indian,Indian,Mughlai,Chinese,Biryani",4.0,250,Sadar,"Sadar, Villa","Bullock Cart, HOUSE NO . 3425/A NEAR SMURTI TALKIES MOUNT ROAD SADAR NAGPUR, Nagpur urban, Nagpur-1 (Maharashtra), 440001",False,,
129,Vadilal Ice Cream,"Ice Cream,Desserts,Sweets",4.1,250,Medical Square,Nandanvan,"QTR.NO.14/5, V.H.B. COLONY, RAMBAG PLAY GAOUND NAGPUR 440003",True,21.1375622,79.1226825
130,Hyderabad Biryani.com,Biryani,,250,Sadar Civil Lines,Manish Nagar,"Shop No. 17, VCA Complex, Sadar Civil Lines, Nagpur Area: Sadar Civil Lines City: Nagpur",False,21.1236132,79.0855402
131,The Kathi Crossing,Indian,4.0,200,Civil Lines,Civil Lines,"heritage Hotel, Ravindranath Tagore Road, Civil Lines, Collector's Circle, Nagpur",False,21.1545417,79.0788989
132,The Belgian Waffle Co.,"Desserts,Beverages",4.1,200,Sadar,Sadar Bus Stop,"Residency Road, Near Gangaur, Adjacent to Diamond Salon, Opposite Governer's Bangalow Bus Stop, Sadar, Nagpur",True,,
133,Sardarji Da Chullah,"North Indian,Indian,Mughlai,Chinese,Biryani",3.8,250,Sadar,"Sadar, Sardarji",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,False,,
134,Rajendra Chinese,Chinese,3.8,200,Bajaj Nagar,Bajaj Nagar,"Vaibhav Laxmi Lawn,  Near Baba Garage, Bajaj  Nagar Chowk, Nagpur  Urban-440010",False,21.1275893,79.0615901
135,Thali Wala (Pure Veg),"Thalis,North Indian,Indian,Hyderabadi,Biryani,Mughlai",2.6,200,Lokmat Chowk,"Lokmat Chowk, Thali","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,,
136,Fuel Blend,"Beverages,Desserts",,200,Ramdaspeth,Ramdaspeth,"Chatori Street, Ramdaspeth, Nagpur",False,21.1365853,79.0749872
137,Taste Hub,"Italian,Fast Food,Bakery",,200,Gandhibagh,Gandhibagh,"44W5+2MR, Mahal, Nagpur, Maharashtra 440032, India",True,21.1543273,79.1058527
138,Meeting Point,"North Indian,Fast Food",,400,Ramdaspeth,Bajaj Nagar,"Hotel centre Point, Ramdaspeth, Nagpur",False,21.1275893,79.0615901
139,Shabana's Bakery & Cafe,"Bakery,Chinese,Italian",,200,Dharampeth,Dharampeth,"Shop 1, Plot 25-26, Ground Floor, Gokul Roshan Apartment, Dharampeth, Nagpur",False,21.1409684,79.0624344
140,Grill Inn,"Beverages,Fast Food,Pizzas",4.2,300,Dharampeth,Dharampeth,"Shop no. 11, 12, lad apartment, opposite tarkunde dharampeth school ,khare town ,ambazari road ,dharampeth ,nagpur ., zone no.3 - neharunagar,nagpur urban ,nagpur-1, maharashtra -440010",False,21.1409684,79.0624344
141,Biryani E Khaas,"Biryani,Thalis,Indian,Chinese,North Indian,Punjabi,Desserts",,200,Lokmat Chowk,"Lokmat Chowk, Khaas","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,,
142,Shree Ganesh Bhandar,"North Indian,Snacks",,300,Mahal,Gandhibagh,"401, Pataleshwar Road Chitaloli, Badkas Chowk, Ghatate Wada, Mangalwari, Mahal, Nagpur",True,21.1543273,79.1058527
143,Biryani Mafia,Biryani,,200,Ramdaspeth,"Ramdaspeth, Biryani","Plot no. 1151,Shop no. 4250,Manoj Building, Groud Floor, Ramdaspeth, Nagpur",False,,
144,Bapu Ki Kutiya,"North Indian,Indian,Punjabi,Biryani,Chinese,Desserts",,200,Ramdaspeth,"Ramdaspeth, Bapu Ki Kutiya","Opposite Centre Point Hotel, Ramdaspeth, Nagpur",True,,
145,Taste of Hyderabad (Pure Veg),"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",,200,Lokmat Chowk,"Lokmat Chowk, Shankar","Lokmat Square, Dhantoli, Nagpur, Maharashtra 440012, India",True,,
146,Saoji Maza,North Indian,,200,Ayodhya Nagar,Ayodhya Nagar,"NEAR MILIND BUDDHA  VIHAR,RAMBAG,MEDICAL  CHOWK,NAGPUR., Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1,  Maharashtra - 440003",False,21.1205917,79.11011712375097
147,Poha Maza,"Snacks,Fast Food",,200,Ayodhya Nagar,Ayodhya Nagar,"NEAR MILIND BUDDHA  VIHAR,RAMBAG,MEDICAL  CHOWK,NAGPUR., Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1,  Maharashtra - 440003",False,21.1205917,79.11011712375097
148,Roast Cafe,"Indian,Chinese,North Indian,Tandoor,Biryani,Beverages,Mughlai,Pizzas,Italian-American,Snacks,American",4.0,250,Sadar,Residency Road,"Zal Complex, below Bharat Saree Stores, Sadar, Nagpur",False,21.20375095,79.0710659726571
149,Chef's On Fire,"Chinese,Fast Food,Street Food,Beverages",4.0,150,Sadar,Sadar,"Shop No. 3, Opp. Pehnava Boutique, Zone No.10, Mangalwari, Nagpur Urban-440001",False,21.1729661,79.0795534
150,Juice Factory,"Juices,Fast Food,Snacks,Chaat,Beverages",,200,Sitabuldi,Sitabuldi,"GS 08 , WESTERN PALACE, HUMPYARD  ROAD, CONGRESS NAGAR , DHANTOLI,  WARD NO 5, NAGPUR (MUNICIPAL  CORPORATION.) , NAGPUR (URBAN),  NAGPUR, 440012, Zone no.4 -Dhantoli,  Nagpur (Urban), Nagpur, Maharas",False,21.1414478,79.0824843
151,LB's Kitchen,"Indian,Chinese,Mughlai,North Indian,Beverages,Tandoor",3.8,450,Sadar,Sadar,"Hotel LB, Mount Road, Sadar, Nagpur",False,21.1729661,79.0795534
152,LASSI SHOP,"Beverages,Desserts",,150,Dharampeth,Dharampeth,"SHOP 18, VCA SHOPPING COMPLEX, OPP  CHURCH, CIVIL LINES, Zone no.2 - Dharampeth, Nagpur (Urban), Nagpur,  Maharashtra - 440001",False,21.1409684,79.0624344
153,NANDRI SOUTH INDIAN RESTAURANT,"South Indian,Indian,Chinese,Beverages",,300,Sadar,Sadar,8/8A AD COMPLEX MOUNT ROAD EXTENSION OPP AJMERA TYERS SADAR NAGPUR NAGPUR URBAN NAGPUR MAHARASHTRA 440001,False,21.1729661,79.0795534
154,Khichdi Only,"Indian,Combo",3.9,200,Ramdaspeth,"Ramdaspeth, Khichdi","Plot no. 1151, Shop no.4250, Manoj Building, Ground Floor, Ramdaspeth, Nagpur",True,,
155,Hariom's HB kitchen,"North Indian,Indian,Punjabi,Biryani,Chinese,Desserts",2.8,200,Ramdaspeth,"Ramdaspeth, Hariom","Opposite Centre Point Hotel, Ramdaspeth, Nagpur",True,,
156,TAO - Asian Kitchen,"Chinese,Fast Food,Italian,Indian,Tandoor,Continental",,250,Civil lines,Dharampeth,"Plot No.1, House No. 170, Gupta House, Civil lines, Nagpur UR  440001",False,21.1409684,79.0624344
157,Aman's Grill Kitchen,Indian,,200,Ramdaspeth,"Ramdaspeth, Aman","Plot no.1151, Shop no.4250, Manoj Buiding, Ground Floor, Ramdaspeth, Nagpur",True,,
158,Yuvi's Rasoi Thali,"North Indian,Indian",3.4,200,Ramdaspeth,"Ramdaspeth, Yuvi's","Plot no.1151, Shop no.4250, Manoj Buiding, Ground Floor, Ramdaspeth, Nagpur",True,,
159,Gangour,"Sweets,Beverages,Street Food,Snacks",4.1,100,Medical Square,hanuman nagar,"medical square, hanuman nagar, nagpur",False,21.1262994,79.10209190155314
160,Woodspeen,"Indian,Italian,Snacks,Beverages",,200,Dhantoli,Sitabuldi,"Woodspeen, Plot No. 111, Abhyankar Rd., Beside Avanti Hospital, Dhantoli, Nagpur 440012.",False,21.1414478,79.0824843
161,KGN CHINESE,Chinese,,100,Sadar,Sadar,"218, DHOBI MOHALLA, NAI BASTI NAGPUR, ZONE NO. 1O- MANGALWARI, NAGPUR URBAN, NAGPUR- 1, MAHARASHTRA- 440001",False,21.1729661,79.0795534
162,Hotel Paradise - The Treat,North Indian,,500,Gandhibagh,Gandhibagh,"Hotel Paradise, 43, Central Avenue, Gandhibagh, Nagpur,Gandhibagh,Nagpur,Gandhibagh,Nagpur",False,21.1543273,79.1058527
163,Jai Ambe Chat Corner,Chaat,,200,Sitabuldi,Sitabuldi,"Near Cresent Hospital, Dhantoli, Nagpur, Nagpur Urban, Nagpur-1 (Maharashtra) - 440012",True,21.1414478,79.0824843
164,Sigri,"North Indian,Chinese",4.0,600,Civil Lines,Sadar,"Hotel Heritage 2001, Collectors Colony, Civil Lines, Nagpur, Maharashtra 440001",False,21.1729661,79.0795534
165,Frullato,Desserts,3.9,200,Sadar,Sadar,"Shop No. F7, Ground Flooor, Opp. Sadar Bus Stop, Sadar, Nagpur",True,21.1729661,79.0795534
166,KARIM S,"Kebabs,North Indian",,500,Sadar,Sadar,H.N.58 A NEAR MOTI MAHAL RESIDENCY ROAD SADAR ZONE NO 10 MANGALWARI NARBUR URBAN NAGPUR 1 MAHARASHTRA 440001,False,21.1729661,79.0795534
167,Mullaji Sadar Biryani Center,"Biryani,Beverages",3.9,200,Sadar,Sadar,"SHOP NO. 53, MINI MANGALWARI, BAJAR COMPLEX, NAGPUR, Zone no.10- Mangalwari, Nagpur urban, Nagpur-1, Maharashtra - 440001",False,21.1729661,79.0795534
168,East India Company,"Chinese,North Indian,Continental,Thai,Mughlai,Desserts",4.3,950,Civil Lines,Civil Lines,"Akashwani Chowk, Near Seasons Lawns, Civil Lines, Nagpur",False,21.1545417,79.0788989
169,Babbu's Galaxy Restaurant,"Biryani,Mughlai,Tandoor,North Indian,Indian",4.3,400,Byramji Town,Civil Lines,"Near SBI, Katol Road, Civil Lines, Nagpur",False,21.1545417,79.0788989
170,ICE AND FIRE,"Snacks,Pizzas",,200,Mahal,Nandanvan,1056/A FATE WADA GANGABAI GHAT ROAD NEAR CORPORATION SCHOOL CHITANVISPURA MAHAL NAGPUR-440032,True,21.1375622,79.1226825
171,Panino The Sandwich World,"American,Beverages,Continental,Pizzas,Snacks",3.8,250,VCA,Sadar,"Shop No 29, The Vidarbha Cricket Association Complex, Civil Lines, Nagpur-440001",False,21.1729661,79.0795534
172,Biryani And Curry House,"North Indian,Fast Food",,300,Nandanvan,Nandanvan,"Dewdiya,Near Congress Bhavan,Chitra Talkies, Nagpur, Nagpur urban, Nagpur-1, Maharashtra-440018",False,21.1375622,79.1226825
173,HOTEL TAJ GULZAR,"Tandoor,North Indian,Indian",,250,Gandhibagh,Gandhibagh,BHAGWAGHAR CHOWK HANSAPURI ROAD NAGPUR NAGPUR URBAN NAGPUR MAHARASHTRA 440018,False,21.1543273,79.1058527
174,Orbiyo Natural Ice Cream,Ice Cream,,200,Civil Lines,Sadar,"Shop 13 - 15, VCA Stadium, Sadar, Nagpur",True,21.1729661,79.0795534
175,Krishnum Sandwich Story,"Continental,Combo",,200,Sadar,Sadar,"opp. saraf chambers, mount road, sadar, Nagpur",True,21.1729661,79.0795534
176,Burhanpur Juice Center,"Beverages,Juices",3.8,300,Nandanvan,Nandanvan,H NI 260 BLOCK NO 2 SHYAM TALKIES CHOWK NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA-440002,False,21.1375622,79.1226825
177,Amritsari Junction,"North Indian,Indian,Mughlai,Chinese,Biryani",3.1,250,Sadar,"Sadar, Amritsari","Bullockcart Restaurant, Ashoka Hotel Square, Mount Road , Sadar",True,,
178,Biryani Hub,"North Indian,Indian,Mughlai,Chinese,Biryani",,250,Sadar,"Sadar, Hub","Bullock Cart, NEAR SMURTI TALKIES MOUNT ROAD SADAR NAGPUR , Nagpur urban, Nagpur-1 (Maharashtra), - 440001",False,,
179,McCafe by McDonald's,"American,Beverages,Desserts",,250,Medical Square,Trillum Mall,"Restaurant no 3, 3rd Floor, Trillum mall, Ram Bag Layout, Untkhana Road, Nagpur, 440003",False,,
180,Dosa house,South Indian,2.9,150,Medical Square,Ayodhya Nagar,"Near Padole Corner, Siraspeth, Nagpur, Ayodhya Nagar, Nagpur,Ayodhya Nagar,Nagpur",True,21.1205917,79.11011712375097
181,Tikkas and Curries,"North Indian,Indian,Mughlai,Chinese,Biryani",3.9,250,Sadar,"Sadar, Tikkas",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,False,,
182,PANDITAIN KA DHABA,"Chinese,American,Fast Food,Snacks,Beverages,Desserts",3.5,150,Sadar,Sadar,"5;Residency Road ,beside moti mahal sadar, nagpur-440001",False,21.1729661,79.0795534
183,Khichadiwala,"Indian,Snacks",4.3,200,Ramdaspeth,Ramdaspeth,"MD Deshpande Road, Behind People's GYM, Ramdaspeth, Nagpur",True,21.1365853,79.0749872
184,Licksters,"Beverages,Desserts,Waffle",,200,Medical Square,Bajaj Nagar,"PLOT NO. 1, CTS 362/1, VR MALL, SHOP NO. K05, THIRD FLOOR, MEDICAL SQUARE, NAGPUR 440001",False,21.1275893,79.0615901
185,Royal Thali,"Thalis,North Indian,Indian,Chinese",,300,Sitabuldi,Sitabuldi,"Plot no.10, Shop no.4, Sahib Niwas, Near Narula Building, Ramdaspeth, Nagpur440012",False,21.1414478,79.0824843
186,Foody Moody,"North Indian,Biryani",3.4,400,Lokmat Chowk,Ramdaspeth,"PLOT NO. 10, SHOP NO.4, SAHIB NIWAS NEAR, NARULA BUILDING, RAMDASPETH, NAGPUR ,Zone no.3 -Neharunagar,Nagpur (Urban),Nagpur,Maharashtra-440012",False,21.1365853,79.0749872
187,Paapi Pet (Original),"North Indian,Biryani,Tandoor,Chinese,Indian",,200,Lokmat Chowk,Ramdaspeth,"PLOT NO. 10, SHOP NO.4, SAHIB NIWAS NEAR, NARULA BUILDING, RAMDASPETH, NAGPUR ,Zone no.3 -Neharunagar,Nagpur (Urban),Nagpur,Maharashtra-440012",False,21.1365853,79.0749872
188,Shahi Thali,"Thalis,North Indian,Chinese",,300,Sitabuldi,Sitabuldi,"Plot no.10, Shop no.4, Sahib Niwas, Near Narula Building, Ramdaspeth, Nagpur  440012",False,21.1414478,79.0824843
189,PALASH AMBAGADE,Bakery,,300,Gandhibagh,Gandhibagh,HANSAPURI CHHOTI KHADAN OPP SAHARA BANK 440018 ZONE NO 6 GANDHIBAG NAGPUR URBAN 1,False,21.1543273,79.1058527
190,Meal Studio,"North Indian,Biryani,Chinese,Thalis",,300,Sitabuldi,Sitabuldi,"Plot no.10, Shop no.4, Sahib Niwas, Near Narula Building, Ramdaspeth, Nagpur",False,21.1414478,79.0824843
191,Yewale Amrutattulya,Beverages,,200,Sitabuldi,Sitabuldi,"SHOP NO.21,GURUBALWANT COMPLEX,CENTRAL BAZAR ROAD,LOKMAT CHOWK,RAMDASPETH, Zone no.2 - Dharampeth, Nagpur440010",False,21.1414478,79.0824843
192,NUTTY BUNCH BAKERS,Bakery,,200,Nandanvan,Nandanvan,"BEHIND BANSILAL ABIRCHANDS BADA MAHAL,NAGPUR ZONE NO.6,GANDHIBAG NAGPUR URBAN",True,21.1375622,79.1226825
193,cake story,Bakery,,250,Gandhibagh,Gandhibagh,HANSAPURI CHHOTI KHADAN OPP SAHARA BANK 440018 ZONE NO 6 GANDHIBAG NAGPUR URBAN 1,False,21.1543273,79.1058527
194,Foody Moody (Original),"North Indian,Biryani,Tandoor,Chinese,Indian",2.4,200,Lokmat Chowk,Ramdaspeth,"PLOT NO. 10, SHOP NO.4, SAHIB NIWAS NEAR, NARULA BUILDING, RAMDASPETH, NAGPUR ,Zone no.3 -Neharunagar,Nagpur (Urban),Nagpur,Maharashtra-440012",False,21.1365853,79.0749872
195,LONDON DAIRY,"Ice Cream,Desserts",,280,Nandanvan,Nandanvan,"37, AZAD COLONY, TAJABAD OPPOSITE OF PANCHWATI ASHRAM, NAGPUR,MAHARASHTRA,440024",False,21.1375622,79.1226825
196,Goli Vada Pav No .1,"Maharashtrian,North Indian,Street Food",4.4,100,Medical Square,Medical College Square,"LG.13, H.K.M.C. Complex Medical College Square, near Hanuman Mandir, Medical Chowk, Hanuman Nagar, Nagpur, Maharashtra 440009",True,21.1278723,79.096948
197,B'Creamy,"Beverages,Ice Cream,Desserts,Sweets,Juices",4.2,200,Sadar,Sadar,"SJTI COMPLEX, BLOCK NO. 10,11, RESIDENCY ROAD, SADAR, NAGPUR, Nagpur- 1, Maharashtra-440001",True,21.1729661,79.0795534
198,Kitu Da Dhaba,"North Indian,Indian,Biryani,Combo",3.1,200,Ramdaspeth,"Ramdaspeth, Kitu","Plot no.1151, Shop no.4250, Manoj Buiding, Ground Floor, Ramdaspeth, Nagpur",False,,
199,Yummi Momos,"Chinese,Snacks,Tibetan,Street Food",4.0,200,Sadar,Chaoni,"Beside Shabana bakery,Chaoni, Nagpur",False,21.1697842,79.0796475
200,Delhi Chaap Corner,"Tandoor,Indian",3.8,300,Sadar,Sadar,"B-11, UTKARSH NIRMAN COMPLEX, MANGALWARI, SADAR, NAGPUR",False,21.1729661,79.0795534
201,Beijing Lu,"Chinese,Thai,Beverages,Indian",3.7,300,Sadar,Sadar,"BEIJING LU RESIDENCY ROAD BH- MOTI MAHAL RESTAURANTS SADAR NAGPUR-440001, District - Nagpur-1, STATE - Maharashtra",False,21.1729661,79.0795534
202,Hotel Heritage Restaurant,"Indian,Chinese,Continental",3.7,400,Civil Lines,Civil Lines,"Ravindranath Tagore Road, Civil Lines, Collector's Circle, Nagpur",False,21.1545417,79.0788989
203,Suraj Chinese centre and sandwiches,"Chinese,Snacks",2.3,200,Dharampeth,Dharampeth,"Dharampeth Buddha Vihar, Dharampeth, Nagpur, Maharashtra, India",False,21.1409684,79.0624344
204,Bullock Cart Nx,"North Indian,Indian,Mughlai,Chinese,Biryani",3.7,250,Sadar,"Sadar, Bullock",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,False,,
205,Oye Kakke,"North Indian,Indian,Mughlai,Chinese,Biryani",4.0,250,Sadar,"Sadar, Kakke",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,False,,
206,Om Shakti Saoji Bhojnalaya,"North Indian,Maharashtrian,Indian",4.0,400,Itwari,panchpaoli,"Golibar Chowk , Opposite Ganesh Mandir, Pachpaoli Road, Pachpaoli, Nagpur",False,,
207,Domino's Pizza,Pizzas,4.5,400,Sitabuldi,Eternity Mall,"Eternity Mall, Nagpurshop No.4, Ground Floor, Eternity Mall, Sitabuldi",False,21.143152049999998,79.08022817813524
208,CHRIST COFFEE DAY CANTEEN,Maharashtrian,,500,Sadar,Sadar,"SHOP NO/ 34/35, OPP ALL SENT CATHEDRAL V.C.A. COMPUND SADAR NAGPUR - 440001, NAGPUR URBAN, NAGPUR - 1 MAHARASHTRA -440001",False,21.1729661,79.0795534
209,Chill N Grill,"North Indian,Continental,Chinese,Thai",,1000,Sadar,Residency Road,"Poonam Arcade, Residency Road, Sadar, Nagpur, Maharashtra 440001",False,21.20375095,79.0710659726571
210,Turban Tadka,"North Indian,Indian,Mughlai,Chinese,Biryani",,250,Sadar,"Sadar, Turban",Bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,False,,
211,SHALIMAR RESTAURANT,Indian,,350,Gandhibagh,Gandhibagh,"NMC COMPLEX B-WING, NEAR UTKARSH  NIRMAAN, MANGALWARI BAZAR ROAD,  SADAR, NAGPUR, Zone no.10-Mangalwari,  Nagpur (Urban), Nagpur, Maharashtra -  440001",False,21.1543273,79.1058527
212,Desi Eats,"North Indian,Snacks,Indian",,350,Sitabuldi,Sitabuldi,Chokhani bhavan Beside Hotel Center point ramdaspeth Nagpur 440010,False,21.1414478,79.0824843
213,McDonald's Gourmet Burger Collection,"Burgers,Beverages,Cafe,Desserts",,500,Medical Square,Trillum Mall,"Restaurant no 3, 3rd Floor, Trillum mall, Ram Bag Layout, Untkhana Road, Nagpur, 440003",False,,
214,Cakes World,Indian,,300,Sitabuldi,Sitabuldi,"Ajni Railway Station, Rambagh, Nagpur, Maharashtra 440012, India",True,21.1414478,79.0824843
215,COME ON B L D,"Snacks,Ice Cream",,200,Gandhibagh,Gandhibagh,"HOUSE NO 42/A/1 DHONDABA CHOWK JYOTI NAGAR KHADAN,ZONE NO-6,GANDHIBAG,NAGPUR",True,21.1543273,79.1058527
216,Nosh Relation of Sandwich,Fast Food,3.4,400,Dharampeth,dharampeth,"Near Traffic Park, Dharampeth, Nagpur",True,21.1409684,79.0624344
217,STREET CHOWPATI,"Chinese,Indian,Beverages,Snacks,Italian,American",2.1,200,Nandanvan,Nandanvan,"PLOT NO. 4, HANUMAN NAGAR, MEDICAL ROAD, NAGPUR, ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440009",False,21.1375622,79.1226825
218,FLAME AND FIRE OF GOD,"Chinese,Fast Food,North Indian",,500,Sadar,Sadar,"34/35, OPPOSITE ALL SAINT CAURCH, V.C.A. GATE NO 12, SADAR NAGPUR - 440001, NAGPUR URBAN, NAGPUR - 1 MAHARASHTRA -440001",False,21.1729661,79.0795534
219,TAJMAHAL HOTEL,Biryani,,250,Gandhibagh,Gandhibagh,"TAJMAHAL HOTEL HOUSE NO. 479 HAKIMJI KA WADA BHALDARPUR, NAGPUR URBAN NAGPUR - 1 MAHARASHTRA - 440002",False,21.1543273,79.1058527
220,Gangour Restaurant,"Sweets,Snacks,Desserts",3.4,200,Sadar,Sadar,"Shop no. G-11, GSCT Building, Residency Road, Sadar, Nagpur",False,21.1729661,79.0795534
221,STREET FOOD BY SINGHS GRILLS,"Chinese,Pizzas,Beverages",2.2,250,Nandanvan,Nandanvan,"PLOT NO. 4, HANUMAN NAGAR, MEDICAL ROAD, NAGPUR,ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA - 440009",False,21.1375622,79.1226825
222,Shreenath Pav Bhaji And Pulao Center,"Chinese,Street Food,South Indian",4.0,100,Dharampeth,Traffic park,"Plot No.7, Bhgwaghar Layout, Behind Children's Traffic Park, Dharampeth, Nagpur",True,21.140496249999998,79.06689898659218
223,MANNLAVA RESTAURANT AND COFFEE DAY SHOP,"Indian,Fast Food",,250,Ayodhya Nagar,Ayodhya Nagar,HOUSE NO 1488 NEAR MATA MANDIR UNTAKHANA ROAD MEDICAL CHOWK NAGPUR ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440024,False,21.1205917,79.11011712375097
224,NEW SINGHS  BARBECUE AND CURRY,"Indian,Chinese,Seafood,North Indian,Biryani,Snacks,Desserts",2.7,500,Nandanvan,Nandanvan,PLOT NO 4 HANUMAN NAGAR  MEDICAL ROAD NAGPUR ZONE NO 5 HANUMANNAGARNAGPUR URBAN NAGPUR 1 MAHARASHTRA-440009,False,21.1375622,79.1226825
225,Ravi's Food,"Indian,Chinese,North Indian,Tandoor,Kebabs,Biryani",4.1,450,Sadar,Sadar,"VCA Ground, Shop No.28, Sadar, Nagpur",False,21.1729661,79.0795534
226,Faasos - Wraps & Rolls,"Fast Food,Snacks,North Indian,Indian,Healthy Food,Desserts,Beverages",4.0,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,,
227,Oven Story Pizza,"Pizzas,Italian",3.6,400,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,,
228,FLAME AND FIRE OF GOD NONVEG,"Fast Food,Pizzas",,500,Sadar,Sadar,"34/35, OPPOSITE ALL SAINT CAURCH, V.C.A. GATE NO 12, SADAR NAGPUR - 440001, NAGPUR URBAN, NAGPUR - 1 MAHARASHTRA -440001",False,21.1729661,79.0795534
229,CHRIST COFFEE DAY CANTEEN NONVEG,"American,Pizzas,Snacks",,500,Sadar,Sadar,"SHOP NO/ 34/35, OPP ALL SENT CATHEDRAL V.C.A. COMPUND SADAR NAGPUR - 440001, NAGPUR URBAN, NAGPUR - 1 MAHARASHTRA -440001",False,21.1729661,79.0795534
230,Cafe Coffee Day,"Beverages,Snacks,Desserts",,300,Civil Lines,VCA,"SHOP NO 17,18,19. VCA STADIUM COMPLEXOPPOSITE LIBERTY THEATER, NAGPUR",False,21.158251,79.0759454
231,Diner grill,"Kebabs,Barbecue,Snacks,Pastas,Chinese,North Indian",,450,Sadar,Sadar,"Shop no 19 ,vca stadium, Sadar, Nagpur, Maharashtra 440001, India",False,21.1729661,79.0795534
232,Brothers Cafe,"Chinese,Beverages,Fast Food",,300,Sadar,Sadar,"House no 45 Buty Building Mount Road , Near hotel Barbeque Sadar , Zone no.10 - Mangalwari,Nagpur (Urban) ,Nagpur, Maharashtra- 440001",False,21.1729661,79.0795534
233,Amir Punjabi Restaurant by Khana Khazana,"North Indian,Chinese,Indian,Continental,Beverages,Tandoor,Thalis,Combo",3.9,300,CA Road,Gandhibagh,"1192, JAGNATH ROAD, CENTRAL AVENUE, BHAWSAR SQUARE, NAGPUR,  Nagpur1, Maharashtra-440002",True,21.1543273,79.1058527
234,Gajanan Savji Bhojnalay,Maharashtrian,,300,Sadar,Sadar,"Residency Road, Sadar, Nagpur",False,21.1729661,79.0795534
235,Babbu Plaza Restaurant,"Biryani,Indian,North Indian,Tandoor,Kebabs,Snacks,Beverages",3.7,250,Sadar,"Sadar,Anjuman Complex","Anjuman Complex, Sadar, Nagpur",False,,
236,ITALIAN MASTER,"Italian,Fast Food,Snacks,Beverages",,250,Gandhibagh,Gandhibagh,"AYACHIT MANDIR ROAD, NEAR NATRAJ  CINEMA, MAHAL , Zone no.10-Mangalwari, Nagpur (Urban), Nagpur, Maharashtra -  440002",True,21.1543273,79.1058527
237,Culcatta Rolls Chinese Center,"Indian,Snacks,South Indian,Chinese,Fast Food",2.5,200,Dharampeth,Dharampeth,"Traffic Park Dharampeth Nagpur,sity ground, Nagpur",False,21.1409684,79.0624344
238,Della Italia,Desserts,,200,Civil Lines,Sadar,"Shop no 41,GR floor ,west vca complex, vca stadium ,civil line ,nagpur , zone no. 10-mangalwari ,nagpur urban nagpur-1,maharashtra-440001",True,21.1729661,79.0795534
239,CAKE BOSS,Bakery,,300,Gandhibagh,Gandhibagh,HOUSE NO 371 GOLIBAR CHOWK BHARAT MATA ROAD NAGPUR ZONE NO 6 GANDHIBAG NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,21.1543273,79.1058527
240,New Singhs Grills & Chinese,"North Indian,Chinese,Biryani,Snacks,Seafood,Tibetan,Italian,Healthy Food,Salads",2.6,400,Nandanvan,Nandanvan,PLOT NO 4 HANUMAN NAGAR MEDICAL ROAD NAGPUR ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA-440009,False,21.1375622,79.1226825
